UDI,ProductID,ProductType,AirTemp,ProcessTemp,TempDifference,RPM,RotationPerSeconds,Torque,Power,ToolWear,OverstrainReading,Target,FailureType
2035,M16894,M,298.8,308.5,9.7,1425,149.225651,47.4,7073.29586,90,4266,0,No Failure
2036,M16895,M,298.9,308.6,9.7,1469,153.8333203,34.2,5261.099553,93,3180.6,0,No Failure
2037,L49216,L,299,308.7,9.7,1892,198.1297767,22.8,4517.358908,96,2188.8,0,No Failure
2038,H31451,H,299,308.7,9.7,1940,203.1563249,19.9,4042.810866,98,1950.2,0,No Failure
2039,L49218,L,299,308.8,9.8,1405,147.1312559,55.2,8121.645328,103,5685.6,0,No Failure
2040,M16899,M,299,308.9,9.9,1449,151.7389252,39.6,6008.861437,105,4158,0,No Failure
2041,L49220,L,299.1,308.9,9.8,1686,176.5575071,29.6,5226.102211,108,3196.8,0,No Failure
2042,L49221,L,299.1,308.9,9.8,1680,175.9291886,27.2,4785.27393,110,2992,0,No Failure
2043,M16902,M,299.1,308.9,9.8,1397,146.2934979,52.4,7665.77929,112,5868.8,0,No Failure
2044,M16903,M,299.2,309,9.8,1597,167.2374489,30.3,5067.294702,115,3484.5,0,No Failure
2045,L49224,L,299.3,309.1,9.8,1470,153.93804,41.1,6326.853445,118,4849.8,0,No Failure
2046,M16905,M,299.3,309.1,9.8,1703,178.337743,31.3,5581.971355,120,3756,0,No Failure
2047,L49226,L,299.3,309.1,9.8,1388,145.3510201,45.5,6613.471415,123,5596.5,0,No Failure
2048,L49227,L,299.3,309.2,9.9,1775,185.8775653,24.2,4498.237081,125,3025,0,No Failure
2049,L49228,L,299.3,309.2,9.9,1465,153.4144413,41.5,6366.699312,127,5270.5,0,No Failure
2050,M16909,M,299.3,309.2,9.9,1586,166.0855316,37.9,6294.641648,129,4889.1,0,No Failure
2051,M16910,M,299.5,309.3,9.8,1675,175.4055898,29.2,5121.843223,132,3854.4,0,No Failure
2052,M16911,M,299.4,309.2,9.8,1470,153.93804,44.4,6834.848977,135,5994,0,No Failure
2053,L49232,L,299.5,309.3,9.8,1477,154.6710783,40.4,6248.711564,138,5575.2,0,No Failure
2054,L49233,L,299.5,309.3,9.8,1382,144.7227016,61,8828.084796,140,8540,0,No Failure
2055,M16914,M,299.6,309.4,9.8,1605,168.075207,29.8,5008.641168,142,4231.6,0,No Failure
2056,L49235,L,299.6,309.4,9.8,1643,172.0545577,32.9,5660.594947,145,4770.5,0,No Failure
2057,L49236,L,299.5,309.3,9.8,1333,139.5914336,54.1,7551.896556,147,7952.7,0,No Failure
2058,L49237,L,299.5,309.3,9.8,1520,159.1740278,42.3,6733.061375,149,6302.7,0,No Failure
2059,M16918,M,299.5,309.3,9.8,1902,199.1769742,24,4780.247382,151,3624,0,No Failure
2060,H31473,H,299.5,309.4,9.9,1386,145.1415806,44.4,6444.286178,154,6837.6,0,No Failure
2061,L49240,L,299.6,309.5,9.9,1803,188.8097185,27.7,5230.029202,159,4404.3,0,No Failure
2062,L49241,L,299.7,309.6,9.9,1359,142.3141472,50.7,7215.327263,161,8162.7,0,No Failure
2063,M16922,M,299.7,309.6,9.9,1477,154.6710783,42.7,6604.455044,163,6960.1,0,No Failure
2064,L49243,L,299.7,309.6,9.9,1321,138.3347965,53.4,7387.078134,166,8864.4,0,No Failure
2065,L49244,L,299.6,309.5,9.9,1453,152.1578042,41.4,6299.333093,168,6955.2,0,No Failure
2066,L49245,L,299.7,309.6,9.9,1419,148.5973325,45.1,6701.739696,170,7667,0,No Failure
2067,L49246,L,299.7,309.6,9.9,1512,158.3362697,36.2,5731.772965,172,6226.4,0,No Failure
2068,L49247,L,299.7,309.6,9.9,1553,162.6297797,36.8,5984.775893,174,6403.2,0,No Failure
2069,M16928,M,299.7,309.6,9.9,1534,160.6401044,39.1,6281.02808,176,6881.6,0,No Failure
2070,H31483,H,299.7,309.6,9.9,1553,162.6297797,41,6667.820968,179,7339,0,No Failure
2071,L49250,L,299.7,309.5,9.8,1352,141.5811089,49.7,7036.581113,184,9144.8,0,No Failure
2072,M16931,M,299.7,309.6,9.9,1313,137.4970385,60,8249.822308,186,11160,0,No Failure
2073,L49252,L,299.6,309.5,9.9,1570,164.4100155,35.5,5836.555552,189,6709.5,0,Random Failures
2074,L49253,L,299.6,309.4,9.8,1677,175.6150293,31.1,5461.627412,191,5940.1,0,No Failure
2075,L49254,L,299.5,309.4,9.9,1602,167.7610477,31.5,5284.473003,193,6079.5,0,No Failure
2076,L49255,L,299.5,309.4,9.9,1390,145.5604596,58.8,8558.955025,195,11466,1,Overstrain Failure
2077,L49256,L,299.4,309.3,9.9,1544,161.6873019,36,5820.742869,197,7092,0,No Failure
2078,L49257,L,299.4,309.4,10,1701,178.1283035,31.2,5557.603068,199,6208.8,0,No Failure
2079,M16938,M,299.4,309.3,9.9,1692,177.1858257,28.4,5032.077449,201,5708.4,0,No Failure
2080,M16939,M,299.3,309.3,10,1523,159.488187,37.9,6044.602289,204,7731.6,0,No Failure
2081,L49260,L,299.3,309.2,9.9,2280,238.7610417,15.4,3676.920042,207,3187.8,0,No Failure
2082,M16941,M,299.4,309.3,9.9,1485,155.5088364,47.1,7324.466192,209,9843.9,0,No Failure
2083,H31496,H,299.4,309.2,9.8,1513,158.4409895,36.1,5719.719721,212,7653.2,0,No Failure
2084,H31497,H,299.4,309.3,9.9,1743,182.5265332,28.2,5147.248235,0,0,0,No Failure
2085,L49264,L,299.5,309.3,9.8,1442,151.0058869,46.2,6976.471974,5,231,0,No Failure
2086,L49265,L,299.5,309.3,9.8,1462,153.100282,46.7,7149.783169,7,326.9,0,No Failure
2087,H31500,H,299.4,309.3,9.9,1439,150.6917276,49.7,7489.378863,9,447.3,0,No Failure
2088,L49267,L,299.5,309.3,9.8,1577,165.1430538,36.6,6044.23577,14,512.4,0,No Failure
2089,L49268,L,299.6,309.4,9.8,1331,139.3819941,46.4,6467.324525,16,742.4,0,No Failure
2090,L49269,L,299.5,309.3,9.8,1941,203.2610447,22.5,4573.373505,18,405,0,No Failure
2091,L49270,L,299.5,309.2,9.7,1393,145.8746189,47.3,6899.869473,20,946,0,No Failure
2092,L49271,L,299.4,309.2,9.8,1433,150.0634091,42.1,6317.669523,22,926.2,0,No Failure
2093,L49272,L,299.4,309.2,9.8,1444,151.2153264,48.2,7288.578732,24,1156.8,0,No Failure
2094,L49273,L,299.4,309.2,9.8,1564,163.781697,39,6387.486183,26,1014,0,No Failure
2095,L49274,L,299.4,309.3,9.9,1377,144.1991028,43.6,6287.080882,28,1220.8,0,No Failure
2096,L49275,L,299.4,309.3,9.9,1525,159.6976266,41.5,6627.451502,30,1245,0,No Failure
2097,M16956,M,299.5,309.4,9.9,1387,145.2463004,56.2,8162.84208,32,1798.4,0,No Failure
2098,M16957,M,299.4,309.4,10,1326,138.8583953,47.5,6595.773776,35,1662.5,0,No Failure
2099,L49278,L,299.4,309.3,9.9,1401,146.7123769,59,8656.030238,38,2242,0,No Failure
2100,L49279,L,299.4,309.3,9.9,1596,167.1327292,31.8,5314.820788,40,1272,0,No Failure
2101,M16960,M,299.3,309.3,10,1471,154.0427598,46,7085.96695,42,1932,0,No Failure
2102,L49281,L,299.3,309.3,10,1528,160.0117858,37.8,6048.445504,45,1701,0,No Failure
2103,L49282,L,299.3,309.3,10,1325,138.7536755,62,8602.727883,47,2914,0,No Failure
2104,M16963,M,299.3,309.1,9.8,1376,144.094383,46.7,6729.207688,49,2288.3,0,No Failure
2105,M16964,M,299.3,309.1,9.8,1600,167.5516082,35.3,5914.571769,52,1835.6,0,No Failure
2106,L49285,L,299.3,309.1,9.8,1495,156.5560339,44,6888.465492,55,2420,0,No Failure
2107,L49286,L,299.4,309.1,9.7,1645,172.2639972,28.6,4926.750319,57,1630.2,0,No Failure
2108,M16967,M,299.4,309.1,9.7,1417,148.387893,47.3,7018.747339,59,2790.7,0,No Failure
2109,H31522,H,299.4,309,9.6,1415,148.1784535,51.7,7660.826046,62,3205.4,0,No Failure
2110,M16969,M,299.3,309,9.7,1496,156.6607537,43.4,6799.076709,67,2907.8,0,No Failure
2111,H31524,H,299.3,309,9.7,1508,157.9173907,35,5527.108675,70,2450,0,No Failure
2112,L49291,L,299.4,309,9.6,1436,150.3775684,47.9,7203.085524,75,3592.5,0,No Failure
2113,L49292,L,299.5,309.1,9.6,1852,193.9409865,22.6,4383.066294,77,1740.2,0,No Failure
2114,L49293,L,299.5,309.1,9.6,1863,195.0929038,22.5,4389.590335,79,1777.5,0,No Failure
2115,H31528,H,299.4,309.1,9.7,1373,143.7802238,44.1,6340.707869,81,3572.1,0,No Failure
2116,L49295,L,299.4,309,9.6,1404,147.0265362,47.3,6954.355162,86,4067.8,0,No Failure
2117,M16976,M,299.4,309,9.6,1381,144.6179818,44.9,6493.347384,88,3951.2,0,No Failure
2118,H31531,H,299.4,308.9,9.5,1762,184.5162085,29.3,5406.32491,91,2666.3,0,No Failure
2119,H31532,H,299.3,308.9,9.6,1429,149.6445301,43,6434.714793,96,4128,0,No Failure
2120,M16979,M,299.3,308.9,9.6,1858,194.569305,24.7,4805.861834,101,2494.7,0,No Failure
2121,H31534,H,299.2,308.8,9.6,1908,199.8052928,21.3,4255.852736,104,2215.2,0,No Failure
2122,M16981,M,299.2,308.8,9.6,1503,157.3937919,37.4,5886.527819,109,4076.6,0,No Failure
2123,M16982,M,299.2,308.8,9.6,1523,159.488187,38.9,6204.090476,112,4356.8,0,No Failure
2124,L49303,L,299.3,309,9.7,1491,156.1371549,38.4,5995.666748,115,4416,0,No Failure
2125,L49304,L,299.2,308.9,9.7,1430,149.7492498,39.1,5855.195668,117,4574.7,0,No Failure
2126,L49305,L,299.3,308.9,9.6,1258,131.7374519,69.4,9142.579165,119,8258.6,1,Power Failure
2127,L49306,L,299.3,309,9.7,1449,151.7389252,46.5,7055.86002,121,5626.5,0,No Failure
2128,H31541,H,299.3,309,9.7,1425,149.225651,40.6,6058.561432,123,4993.8,0,No Failure
2129,L49308,L,299.4,309,9.6,1800,188.4955592,24.3,4580.442089,128,3110.4,0,No Failure
2130,H31543,H,299.4,309,9.6,1607,168.2846465,33.7,5671.192586,130,4381,0,No Failure
2131,L49310,L,299.4,309,9.6,1391,145.6651794,58.2,8477.713439,135,7857,0,No Failure
2132,L49311,L,299.4,309.1,9.7,1432,149.9586893,45.4,6808.124496,137,6219.8,0,No Failure
2133,L49312,L,299.4,309,9.6,1660,173.8347935,28.4,4936.908135,139,3947.6,0,No Failure
2134,H31547,H,299.3,309,9.7,1732,181.3746159,29.7,5386.826091,141,4187.7,0,No Failure
2135,L49314,L,299.3,309,9.7,1473,154.2521993,46.3,7141.876827,146,6759.8,0,No Failure
2136,L49315,L,299.3,309,9.7,1511,158.23155,47.8,7563.468089,148,7074.4,0,No Failure
2137,L49316,L,299.2,308.9,9.7,1588,166.2949711,41.5,6901.241302,150,6225,0,No Failure
2138,L49317,L,299.3,308.9,9.6,1623,169.9601626,31.1,5285.761056,152,4727.2,0,No Failure
2139,L49318,L,299.3,309,9.7,1734,181.5840554,30.6,5556.472095,154,4712.4,0,No Failure
2140,L49319,L,299.3,309,9.7,1415,148.1784535,47.6,7053.294386,156,7425.6,0,No Failure
2141,L49320,L,299.3,309,9.7,1419,148.5973325,46.6,6924.635695,158,7362.8,0,No Failure
2142,M17001,M,299.3,308.9,9.6,1577,165.1430538,34.9,5763.492578,160,5584,0,No Failure
2143,L49322,L,299.3,308.9,9.6,1376,144.094383,60.3,8688.891298,163,9828.9,0,No Failure
2144,M17003,M,299.3,308.8,9.5,1442,151.0058869,49,7399.288457,165,8085,0,No Failure
2145,L49324,L,299.4,308.9,9.5,1451,151.9483647,40.5,6153.908769,168,6804,0,No Failure
2146,L49325,L,299.3,308.8,9.5,1550,162.3156204,45.8,7434.055416,170,7786,0,No Failure
2147,L49326,L,299.3,308.8,9.5,1647,172.4734367,32.9,5674.376067,172,5658.8,0,No Failure
2148,L49327,L,299.4,308.9,9.5,1550,162.3156204,33.7,5470.036409,174,5863.8,0,No Failure
2149,L49328,L,299.4,308.9,9.5,1583,165.7713724,34.1,5652.803797,176,6001.6,0,No Failure
2150,L49329,L,299.4,309,9.6,1613,168.912965,32.2,5438.997473,178,5731.6,0,No Failure
2151,H31564,H,299.3,308.8,9.5,1636,171.3215194,35.5,6081.913938,180,6390,0,No Failure
2152,M17011,M,299.3,308.7,9.4,1289,134.9837643,51.5,6951.663864,185,9527.5,0,No Failure
2153,M17012,M,299.3,308.8,9.5,1648,172.5781564,28.4,4901.219643,188,5339.2,0,No Failure
2154,H31567,H,299.3,308.8,9.5,1397,146.2934979,45.4,6641.724805,191,8671.4,0,No Failure
2155,M17014,M,299.3,308.9,9.6,1767,185.0398073,24.8,4588.987221,196,4860.8,0,No Failure
2156,L49335,L,299.3,308.8,9.5,1341,140.4291916,47.7,6698.47244,199,9492.3,0,No Failure
2157,M17016,M,299.4,308.9,9.5,1457,152.5766832,41.5,6331.932353,201,8341.5,0,No Failure
2158,M17017,M,299.4,309,9.6,1939,203.0516052,19.8,4020.421783,204,4039.2,0,No Failure
2159,M17018,M,299.5,309,9.5,1399,146.5029374,49.7,7281.195989,207,10287.9,0,No Failure
2160,M17019,M,299.5,309,9.5,1602,167.7610477,31.3,5250.920793,210,6573,0,No Failure
2161,L49340,L,299.4,309,9.6,1507,157.812671,41,6470.31951,213,8733,0,No Failure
2162,L49341,L,299.4,309.1,9.7,1464,153.3097215,40.5,6209.043721,215,8707.5,0,No Failure
2163,L49342,L,299.5,309.1,9.6,1336,139.9055928,42.1,5890.025459,217,9135.7,0,No Failure
2164,L49343,L,299.6,309.2,9.6,1422,148.9114918,39.8,5926.677373,219,8716.2,0,No Failure
2165,L49344,L,299.6,309.2,9.6,1540,161.2684229,36.7,5918.55112,221,8110.7,0,No Failure
2166,L49345,L,299.5,309.1,9.6,1476,154.5663586,47.8,7388.271939,223,10659.4,0,No Failure
2167,M17026,M,299.6,309.2,9.6,1867,195.5117828,23.4,4574.975718,225,5265,1,Tool Wear Failure
2168,H31581,H,299.6,309.1,9.5,1588,166.2949711,41.3,6867.982308,0,0,0,No Failure
2169,M17028,M,299.5,309.1,9.6,1420,148.7020523,49.5,7360.751587,5,247.5,0,No Failure
2170,L49349,L,299.5,309.1,9.6,1415,148.1784535,49.2,7290.379912,8,393.6,0,No Failure
2171,M17030,M,299.4,309.1,9.7,1500,157.0796327,43.3,6801.548095,10,433,0,No Failure
2172,L49351,L,299.5,309.1,9.6,1502,157.2890722,44.6,7015.09262,13,579.8,0,No Failure
2173,L49352,L,299.5,309.2,9.7,1816,190.1710753,23,4373.934732,15,345,0,No Failure
2174,M17033,M,299.5,309.2,9.7,1495,156.5560339,41.6,6512.73101,17,707.2,0,No Failure
2175,L49354,L,299.6,309.2,9.6,1572,164.619455,33.4,5498.289799,20,668,0,No Failure
2176,M17035,M,299.5,309.2,9.7,1590,166.5044106,35.9,5977.508342,22,789.8,0,No Failure
2177,M17036,M,299.6,309.3,9.7,1387,145.2463004,48.3,7015.396307,25,1207.5,0,No Failure
2178,M17037,M,299.6,309.2,9.6,1393,145.8746189,47.7,6958.219321,28,1335.6,0,No Failure
2179,L49358,L,299.6,309.2,9.6,1602,167.7610477,37.3,6257.487079,31,1156.3,0,No Failure
2180,L49359,L,299.6,309.2,9.6,1601,167.6563279,33.3,5582.955721,33,1098.9,0,No Failure
2181,H31594,H,299.6,309.2,9.6,1597,167.2374489,36.3,6070.719396,35,1270.5,0,No Failure
2182,H31595,H,299.5,309.1,9.6,1548,162.1061809,44.3,7181.303815,40,1772,0,No Failure
2183,M17042,M,299.5,309.2,9.7,1314,137.6017582,61.8,8503.788658,45,2781,0,No Failure
2184,M17043,M,299.6,309.3,9.7,1577,165.1430538,39.8,6572.693542,48,1910.4,0,No Failure
2185,L49364,L,299.8,309.4,9.6,1475,154.4616388,43.4,6703.635124,51,2213.4,0,No Failure
2186,L49365,L,299.8,309.4,9.6,1630,170.6932008,32.4,5530.459707,53,1717.2,0,No Failure
2187,L49366,L,299.7,309.4,9.7,1445,151.3200461,42.9,6491.62998,55,2359.5,0,No Failure
2188,M17047,M,299.8,309.4,9.6,1439,150.6917276,47.4,7142.787889,57,2701.8,0,No Failure
2189,L49368,L,299.7,309.3,9.6,1420,148.7020523,44.1,6557.760505,60,2646,0,No Failure
2190,H31603,H,299.7,309.2,9.5,1554,162.7344995,41.6,6769.755177,62,2579.2,0,No Failure
2191,M17050,M,299.6,309.1,9.5,1471,154.0427598,44.3,6824.094258,67,2968.1,0,No Failure
2192,L49371,L,299.6,309,9.4,1648,172.5781564,33.6,5798.626056,70,2352,0,No Failure
2193,L49372,L,299.6,309,9.4,1472,154.1474795,48.8,7522.397001,72,3513.6,0,No Failure
2194,M17053,M,299.5,308.9,9.4,1448,151.6342054,42.9,6505.107412,74,3174.6,0,No Failure
2195,M17054,M,299.6,308.9,9.3,1568,164.200576,35.3,5796.280334,77,2718.1,0,No Failure
2196,L49375,L,299.6,308.9,9.3,1613,168.912965,30.8,5202.519322,80,2464,0,No Failure
2197,M17056,M,299.7,308.9,9.2,1551,162.4203402,35.4,5749.680043,82,2902.8,0,No Failure
2198,L49377,L,299.7,309,9.3,1412,147.8642942,49.2,7274.923276,85,4182,0,No Failure
2199,M17058,M,299.7,308.9,9.2,1478,154.7757981,41,6345.807721,87,3567,0,No Failure
2200,M17059,M,299.8,309.1,9.3,1268,132.7846495,58,7701.509671,90,5220,0,No Failure
2201,L49380,L,299.8,309.1,9.3,1546,161.8967414,35.6,5763.523994,93,3310.8,0,No Failure
2202,L49381,L,299.8,309,9.2,1567,164.0958563,36.1,5923.860411,95,3429.5,0,No Failure
2203,M17062,M,299.9,309.2,9.3,1548,162.1061809,35.7,5787.190659,97,3462.9,0,No Failure
2204,L49383,L,299.8,309,9.2,1614,169.0176848,30.8,5205.744691,100,3080,0,No Failure
2205,M17064,M,299.7,309.1,9.4,1352,141.5811089,46.1,6526.889121,102,4702.2,0,No Failure
2206,L49385,L,299.9,309.2,9.3,1624,170.0648823,34.6,5884.244928,105,3633,0,No Failure
2207,L49386,L,299.9,309.2,9.3,1436,150.3775684,52,7819.633554,107,5564,0,No Failure
2208,L49387,L,299.8,309.2,9.4,1591,166.6091304,37.5,6247.84239,109,4087.5,0,No Failure
2209,H31622,H,299.8,309.2,9.4,1435,150.2728486,42.6,6401.62335,111,4728.6,0,No Failure
2210,L49389,L,299.8,309.3,9.5,1386,145.1415806,49.4,7169.994081,116,5730.4,0,No Failure
2211,L49390,L,299.7,309.2,9.5,1401,146.7123769,54.1,7937.139592,118,6383.8,0,No Failure
2212,M17071,M,299.6,309,9.4,1245,130.3760951,64,8344.070088,120,7680,0,No Failure
2213,L49392,L,299.7,309.1,9.4,1475,154.4616388,40,6178.465552,123,4920,0,No Failure
2214,L49393,L,299.7,309.1,9.4,1473,154.2521993,39.4,6077.536652,125,4925,0,No Failure
2215,H31628,H,299.7,309.2,9.5,1355,141.8952682,44.8,6356.908015,127,5689.6,0,No Failure
2216,H31629,H,299.7,309.2,9.5,1468,153.7286005,49.6,7624.938586,132,6547.2,0,No Failure
2217,L49396,L,299.7,309.2,9.5,1645,172.2639972,30.8,5305.731113,137,4219.6,0,No Failure
2218,L49397,L,299.7,309.1,9.4,1347,141.0575101,55.3,7800.480311,139,7686.7,0,No Failure
2219,L49398,L,299.7,309.1,9.4,1713,179.3849405,33.5,6009.395507,141,4723.5,0,No Failure
2220,M17079,M,299.6,309.1,9.5,1435,150.2728486,48.4,7273.205872,143,6921.2,0,No Failure
2221,M17080,M,299.6,309,9.4,1736,181.7934949,26.1,4744.810217,146,3810.6,0,No Failure
2222,L49401,L,299.6,309,9.4,1372,143.675504,60.4,8678.000443,149,8999.6,0,No Failure
2223,L49402,L,299.7,309,9.3,1605,168.075207,33,5546.48183,151,4983,0,No Failure
2224,L49403,L,299.6,309,9.4,1413,147.969014,48.5,7176.497178,153,7420.5,0,No Failure
2225,M17084,M,299.7,309,9.3,1645,172.2639972,31.9,5495.22151,155,4944.5,0,No Failure
2226,M17085,M,299.7,309,9.3,1465,153.4144413,49,7517.307621,158,7742,0,No Failure
2227,M17086,M,299.6,308.9,9.3,1685,176.4527874,27.8,4905.387489,161,4475.8,0,No Failure
2228,L49407,L,299.5,308.8,9.3,1965,205.7743188,20.4,4197.796104,164,3345.6,0,No Failure
2229,H31642,H,299.4,308.6,9.2,1542,161.4778624,41.8,6749.774648,166,6938.8,0,No Failure
2230,L49409,L,299.4,308.7,9.3,1681,176.0339084,30.8,5421.844377,171,5266.8,0,No Failure
2231,L49410,L,299.5,308.7,9.2,1446,151.4247659,45.7,6920.111802,173,7906.1,0,No Failure
2232,L49411,L,299.4,308.6,9.2,1415,148.1784535,56.4,8357.264777,175,9870,0,No Failure
2233,L49412,L,299.5,308.6,9.1,1672,175.0914306,30.5,5340.288632,177,5398.5,0,No Failure
2234,L49413,L,299.5,308.7,9.2,2549,266.9306558,13,3470.098525,179,2327,1,Power Failure
2235,L49414,L,299.4,308.6,9.2,1492,156.2418746,40.5,6327.795923,181,7330.5,0,No Failure
2236,M17095,M,299.4,308.6,9.2,1455,152.3672437,42.7,6506.081306,183,7814.1,0,No Failure
2237,M17096,M,299.3,308.5,9.2,1422,148.9114918,43.1,6418.085296,186,8016.6,0,No Failure
2238,L49417,L,299.3,308.6,9.3,1403,146.9218164,50.6,7434.243912,189,9563.4,0,No Failure
2239,L49418,L,299.3,308.6,9.3,1474,154.356919,49.6,7656.103185,191,9473.6,0,No Failure
2240,L49419,L,299.2,308.6,9.4,1381,144.6179818,50,7230.899091,193,9650,0,No Failure
2241,L49420,L,299.2,308.5,9.3,1457,152.5766832,44.7,6820.177739,195,8716.5,0,No Failure
2242,L49421,L,299.2,308.4,9.2,1711,179.175501,28.9,5178.171979,197,5693.3,0,No Failure
2243,L49422,L,299.2,308.4,9.2,1667,174.5678318,29,5062.467122,199,5771,0,No Failure
2244,L49423,L,299.2,308.4,9.2,1465,153.4144413,35,5369.505444,201,7035,0,No Failure
2245,M17104,M,299.3,308.4,9.1,1542,161.4778624,37.5,6055.41984,203,7612.5,1,Tool Wear Failure
2246,M17105,M,299.3,308.4,9.1,1438,150.5870079,42.3,6369.830433,0,0,0,No Failure
2247,L49426,L,299.3,308.4,9.1,1406,147.2359757,47.4,6978.985248,3,142.2,0,No Failure
2248,M17107,M,299.2,308.4,9.2,1396,146.1887781,48.5,7090.15574,5,242.5,0,No Failure
2249,M17108,M,299.3,308.5,9.2,1304,136.5545607,60.6,8275.206377,8,484.8,0,No Failure
2250,L49429,L,299.2,308.5,9.3,1442,151.0058869,46.5,7021.77374,11,511.5,0,No Failure
2251,M17110,M,299.2,308.4,9.2,1396,146.1887781,48.7,7119.393496,13,633.1,0,No Failure
2252,H31665,H,299.1,308.3,9.2,1424,149.1209313,43.4,6471.848418,16,694.4,0,No Failure
2253,H31666,H,299.1,308.3,9.2,1451,151.9483647,42.8,6503.390008,21,898.8,0,No Failure
2254,L49433,L,299.2,308.4,9.2,1386,145.1415806,54.1,7852.15951,26,1406.6,0,No Failure
2255,L49434,L,299.1,308.3,9.2,1325,138.7536755,46.9,6507.547383,28,1313.2,0,No Failure
2256,L49435,L,299.1,308.3,9.2,1559,163.2580982,33.7,5501.79791,30,1011,0,No Failure
2257,L49436,L,299.1,308.3,9.2,1489,155.9277154,38.1,5940.845956,32,1219.2,0,No Failure
2258,L49437,L,299.1,308.3,9.2,1892,198.1297767,25.2,4992.870372,34,856.8,0,No Failure
2259,L49438,L,299.1,308.2,9.1,1319,138.125357,60.3,8328.959027,36,2170.8,0,No Failure
2260,L49439,L,299.1,308.3,9.2,1431,149.8539696,52.3,7837.362609,38,1987.4,0,No Failure
2261,H31674,H,299.1,308.3,9.2,1521,159.2787475,36.5,5813.674285,40,1460,0,No Failure
2262,M17121,M,299.1,308.2,9.1,1435,150.2728486,45.2,6792.332757,45,2034,0,No Failure
